2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Brinches
0,92.4
1093,1080,1066,1053,1039,1028,1017,1006,995,985,974,963,952,941,930
2456.4,2225.98,718.88,1627.74,3946.23,5412.89,6888.14,7648.09,7125.18,6007.76,5636.61,3614.5,4181.85,2451.11,2616.4
Pias
0,163.86
2926,2907,2889,2870,2852,2821,2790,2759,2728,2697,2666,2635,2604,2573,2542
10439.61,11165.37,6777.96,8054.59,11511.36,13163.24,12304.54,10932.72,9756.86,8389.18,10128.95,9777.66,10713.56,6719.68,7390.27
União das Freguesias de Serpa (Salvador e Santa Maria)
1,443.73
6365,6332,6299,6266,6233,6170,6107,6043,5980,5917,5854,5791,5727,5664,5601
6230.77,4915.45,4611.08,4116.58,6884.77,10539.65,9550.35,7235.72,4930.48,5194.14,5926.23,5997.02,6204.24,3179.82,2401.17
União das Freguesias de Vila Nova de São Bento e Vale de Vargo
1,300.25
4225,4179,4133,4087,4040,3980,3919,3859,3798,3738,3677,3617,3556,3496,3435
24997.59,38128.71,22307.92,24257.49,27553.27,29563.56,27354.58,26769.39,21806.41,21444.6,21896.02,16740.46,13329.7,7481.31,7876.9
