2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Brinches
0,92.4
1093,1080,1066,1053,1039,1028,1017,1006,995,985,974,963,952,941,930
18557.69,23730.89,18879.04,23063.92,27262.81,20074.4,31872.22,29088.15,29297.86,26937.3,30050.4,26656.97,26557.62,17053.12,23674.73
Pias
0,163.86
2926,2907,2889,2870,2852,2821,2790,2759,2728,2697,2666,2635,2604,2573,2542
35811.16,28725.03,48476.07,42115.18,37689.07,44836.38,44168.13,36741.79,44733.78,39591.3,51466.72,50477.98,70682.92,72169.73,47883.92
União das Freguesias de Serpa (Salvador e Santa Maria)
1,443.73
6365,6332,6299,6266,6233,6170,6107,6043,5980,5917,5854,5791,5727,5664,5601
40731.65,46787.93,40342.12,46241.2,60986.64,53297.9,43162.31,41080.19,36839.25,28556.4,30045.08,23146.76,25650.21,25979.45,25822.72
União das Freguesias de Vila Nova de São Bento e Vale de Vargo
1,300.25
4225,4179,4133,4087,4040,3980,3919,3859,3798,3738,3677,3617,3556,3496,3435
96431.75,95678.34,97436.18,80083.78,89198.3,69509.91,88997.31,55164.97,71748.52,67888.56,79907.83,78828.78,91139.31,50557.49,40547.97
