2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Brinches
0,92.4
1093,1080,1066,1053,1039,1028,1017,1006,995,985,974,963,952,941,930
855.22,12956.88,14733.06,11510.75,7129.06,4555.0,3324.22,768.24,352.05,518.45,3268.41,1556.86,70.0,8146.01,6918.67
Pias
0,163.86
2926,2907,2889,2870,2852,2821,2790,2759,2728,2697,2666,2635,2604,2573,2542
5734.67,0.0,2989.83,3616.63,23820.43,1834.82,6202.58,14097.49,159.9,1317.91,17282.23,6480.49,0.0,9478.06,23236.86
União das Freguesias de Serpa (Salvador e Santa Maria)
1,443.73
6365,6332,6299,6266,6233,6170,6107,6043,5980,5917,5854,5791,5727,5664,5601
0.0,51318.65,14595.41,8124.39,0.0,0.0,0.0,0.0,3258.93,1208.06,70290.03,21600.56,4592.16,47004.51,34005.71
União das Freguesias de Vila Nova de São Bento e Vale de Vargo
1,300.25
4225,4179,4133,4087,4040,3980,3919,3859,3798,3738,3677,3617,3556,3496,3435
19977.85,50819.39,40160.04,16520.64,14040.81,6004.09,5768.93,33116.09,53936.76,44727.02,70444.82,46180.96,41609.49,41578.12,82107.62
