2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Brinches
0,92.4
1093,1080,1066,1053,1039,1028,1017,1006,995,985,974,963,952,941,930
54293.3,54402.33,55642.23,54690.76,55604.25,39752.83,44935.06,45682.53,49074.24,50994.88,53252.89,52273.87,57223.03,41917.67,44467.71
Pias
0,163.86
2926,2907,2889,2870,2852,2821,2790,2759,2728,2697,2666,2635,2604,2573,2542
93088.78,116669.96,128084.44,97595.84,111769.44,97462.58,85992.46,84179.53,87264.02,93544.44,78665.14,71627.04,75309.08,104252.57,111430.59
União das Freguesias de Serpa (Salvador e Santa Maria)
1,443.73
6365,6332,6299,6266,6233,6170,6107,6043,5980,5917,5854,5791,5727,5664,5601
104641.73,113617.95,123048.24,137910.93,151297.41,136637.4,134507.08,147104.24,143276.01,134942.8,138674.06,150362.69,156307.54,152682.74,146624.98
União das Freguesias de Vila Nova de São Bento e Vale de Vargo
1,300.25
4225,4179,4133,4087,4040,3980,3919,3859,3798,3738,3677,3617,3556,3496,3435
146296.88,151692.73,158287.95,161288.72,127700.67,109503.51,113320.6,102570.24,99516.25,99731.67,99625.44,79082.45,89435.4,99854.94,101512.57
