2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Brinches
0,92.4
1093,1080,1066,1053,1039,1028,1017,1006,995,985,974,963,952,941,930
203866.14,223429.82,237808.21,172831.84,161212.25,150455.25,163350.5,150238.8,147569.57,165676.27,176959.0,154836.96,172399.39,185302.32,221059.89
Pias
0,163.86
2926,2907,2889,2870,2852,2821,2790,2759,2728,2697,2666,2635,2604,2573,2542
322252.79,330323.83,351398.56,298118.08,309160.58,274731.75,291520.08,285143.29,318542.82,318354.12,337293.47,348599.33,365002.73,347712.89,368028.4
União das Freguesias de Serpa (Salvador e Santa Maria)
1,443.73
6365,6332,6299,6266,6233,6170,6107,6043,5980,5917,5854,5791,5727,5664,5601
800542.25,727386.57,698565.61,755617.93,656123.81,557590.63,646882.83,513643.99,581920.41,613833.85,654948.65,603333.95,636857.85,684334.14,756079.69
União das Freguesias de Vila Nova de São Bento e Vale de Vargo
1,300.25
4225,4179,4133,4087,4040,3980,3919,3859,3798,3738,3677,3617,3556,3496,3435
560607.32,566868.65,556725.03,510620.55,448488.32,435673.09,454926.76,457335.6,474676.65,433817.34,471311.46,423630.28,463304.23,499949.31,561695.58
