2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Brinches
0,92.4
1093,1080,1066,1053,1039,1028,1017,1006,995,985,974,963,952,941,930
9600.87,8694.98,11083.12,19169.08,14927.43,12680.14,18694.95,16374.81,15280.56,13977.48,13396.97,11676.76,13924.9,8474.4,9928.23
Pias
0,163.86
2926,2907,2889,2870,2852,2821,2790,2759,2728,2697,2666,2635,2604,2573,2542
42605.83,30731.51,32625.69,31727.84,25585.61,34156.89,23924.08,22389.6,28876.62,24435.31,20547.32,25077.57,35100.2,17761.46,23428.68
União das Freguesias de Serpa (Salvador e Santa Maria)
1,443.73
6365,6332,6299,6266,6233,6170,6107,6043,5980,5917,5854,5791,5727,5664,5601
32369.63,35625.85,25766.83,33597.5,35427.1,35996.15,41411.65,33853.61,25913.81,21875.4,24735.6,37634.03,31522.64,29921.64,19409.79
União das Freguesias de Vila Nova de São Bento e Vale de Vargo
1,300.25
4225,4179,4133,4087,4040,3980,3919,3859,3798,3738,3677,3617,3556,3496,3435
114988.94,109589.3,110940.86,91104.63,79668.22,83245.6,75231.19,83548.28,86043.72,77998.4,71376.34,67103.37,59857.44,37554.1,33555.96
