2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Brinches
0,92.4
1093,1080,1066,1053,1039,1028,1017,1006,995,985,974,963,952,941,930
69618.07,66947.61,66434.6,64916.66,65530.8,47829.07,56482.31,59676.68,61558.25,63824.7,66369.76,65467.92,70900.04,54265.78,57741.35
Pias
0,163.86
2926,2907,2889,2870,2852,2821,2790,2759,2728,2697,2666,2635,2604,2573,2542
115435.43,142374.14,159380.46,121072.5,132024.65,149338.28,105183.69,102089.79,113760.36,118686.54,105757.13,101355.34,109401.55,138402.79,147926.31
União das Freguesias de Serpa (Salvador e Santa Maria)
1,443.73
6365,6332,6299,6266,6233,6170,6107,6043,5980,5917,5854,5791,5727,5664,5601
129848.49,147828.92,154154.78,170573.46,181039.05,164506.94,161703.69,182418.78,202806.81,166380.34,171503.55,182448.47,196144.94,189528.65,186332.69
União das Freguesias de Vila Nova de São Bento e Vale de Vargo
1,300.25
4225,4179,4133,4087,4040,3980,3919,3859,3798,3738,3677,3617,3556,3496,3435
180990.11,196022.95,147035.3,193699.08,155092.52,133827.08,141240.07,130529.72,130326.5,136595.35,140118.57,107232.42,116216.24,134486.38,142525.75
