2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Brinches
0,92.4
1093,1080,1066,1053,1039,1028,1017,1006,995,985,974,963,952,941,930
67448.84,82908.8,18805.77,14648.62,7612.77,23064.93,17265.5,7226.75,10840.94,39634.52,15333.73,22387.08,40468.85,68247.12,88591.41
Pias
0,163.86
2926,2907,2889,2870,2852,2821,2790,2759,2728,2697,2666,2635,2604,2573,2542
21681.89,26686.07,26187.41,21050.17,11455.13,30599.58,45352.5,54028.74,60272.39,47148.94,72951.51,77925.34,68853.8,67516.76,67939.38
União das Freguesias de Serpa (Salvador e Santa Maria)
1,443.73
6365,6332,6299,6266,6233,6170,6107,6043,5980,5917,5854,5791,5727,5664,5601
266197.98,246182.16,284404.51,236976.78,155650.12,130536.68,240478.09,172583.71,226088.14,285794.07,237150.54,249478.29,276985.22,335409.69,412417.21
União das Freguesias de Vila Nova de São Bento e Vale de Vargo
1,300.25
4225,4179,4133,4087,4040,3980,3919,3859,3798,3738,3677,3617,3556,3496,3435
36457.11,20992.1,16883.55,7829.08,8359.2,10318.63,2937.33,39300.91,31868.57,32280.55,20244.78,39666.88,81977.99,95492.5,132961.13
