2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Brinches
0,92.4
1093,1080,1066,1053,1039,1028,1017,1006,995,985,974,963,952,941,930
14940.25,29736.13,100795.66,31289.72,9309.49,5814.61,11338.32,7321.91,7035.01,7231.07,31533.01,13055.96,7255.95,34341.11,36900.01
Pias
0,163.86
2926,2907,2889,2870,2852,2821,2790,2759,2728,2697,2666,2635,2604,2573,2542
14927.34,3064.73,5432.7,4020.13,23820.43,1834.82,9208.7,15039.47,11434.96,33169.52,22007.62,31271.49,19179.55,24314.97,55841.48
União das Freguesias de Serpa (Salvador e Santa Maria)
1,443.73
6365,6332,6299,6266,6233,6170,6107,6043,5980,5917,5854,5791,5727,5664,5601
194738.01,127795.04,44141.51,141621.97,121067.98,61714.44,49751.47,0.0,8879.59,16250.3,104910.03,35234.54,25434.73,65254.17,35845.93
União das Freguesias de Vila Nova de São Bento e Vale de Vargo
1,300.25
4225,4179,4133,4087,4040,3980,3919,3859,3798,3738,3677,3617,3556,3496,3435
44675.83,63246.12,50524.04,31098.88,25308.16,24552.49,8748.07,38806.55,66407.61,53971.16,88217.08,68057.54,46803.49,142856.13,167419.88
